layer_id,area_id,area_sort_order
MWI_0,MWI,1
MWI_1,MWI.1,2
MWI_1,MWI.2,3
MWI_1,MWI.3,4
MWI_2,MWI.1,5
MWI_2,MWI.2.2,6
MWI_2,MWI.2.3,7
MWI_2,MWI.3.4,8
MWI_2,MWI.3.5,9
MWI_3,MWI.1.1.1,10
MWI_3,MWI.1.1.2,11
MWI_3,MWI.1.1.3,12
MWI_3,MWI.1.1.4,13
MWI_3,MWI.1.1.5,14
MWI_3,MWI.1.1.6,15
MWI_3,MWI.2.2.10,16
MWI_3,MWI.2.2.11,17
MWI_3,MWI.2.2.7,18
MWI_3,MWI.2.2.8,19
MWI_3,MWI.2.2.9,20
MWI_3,MWI.2.3.12,21
MWI_3,MWI.2.3.13,22
MWI_3,MWI.2.3.14,23
MWI_3,MWI.2.3.15,24
MWI_3,MWI.3.4.16,25
MWI_3,MWI.3.4.17,26
MWI_3,MWI.3.4.18,27
MWI_3,MWI.3.4.19,28
MWI_3,MWI.3.4.20,29
MWI_3,MWI.3.4.21,30
MWI_3,MWI.3.5.22,31
MWI_3,MWI.3.5.23,32
MWI_3,MWI.3.5.24,33
MWI_3,MWI.3.5.25,34
MWI_3,MWI.3.5.26,35
MWI_3,MWI.3.5.27,36
MWI_3,MWI.3.5.28,37
MWI_4,MWI.1.1.1,38
MWI_4,MWI.1.1.2,39
MWI_4,MWI.1.1.3,40
MWI_4,MWI.1.1.4.4,41
MWI_4,MWI.1.1.4.6,42
MWI_4,MWI.1.1.5,43
MWI_4,MWI.1.1.6,44
MWI_4,MWI.2.2.10,45
MWI_4,MWI.2.2.11,46
MWI_4,MWI.2.2.7,47
MWI_4,MWI.2.2.8,48
MWI_4,MWI.2.2.9,49
MWI_4,MWI.2.3.12,50
MWI_4,MWI.2.3.13.14,51
MWI_4,MWI.2.3.13.15,52
MWI_4,MWI.2.3.14,53
MWI_4,MWI.2.3.15,54
MWI_4,MWI.3.4.16,55
MWI_4,MWI.3.4.17,56
MWI_4,MWI.3.4.18,57
MWI_4,MWI.3.4.19.21,58
MWI_4,MWI.3.4.19.22,59
MWI_4,MWI.3.4.20,60
MWI_4,MWI.3.4.21,61
MWI_4,MWI.3.5.22,62
MWI_4,MWI.3.5.23.26,63
MWI_4,MWI.3.5.23.29,64
MWI_4,MWI.3.5.24,65
MWI_4,MWI.3.5.25,66
MWI_4,MWI.3.5.26,67
MWI_4,MWI.3.5.27,68
MWI_4,MWI.3.5.28,69
