iso3,area_id,area_name,area_level,area_parent_id,area_sort_order
MWI,MWI,Malawi,0,NA,1
MWI,MWI.1,Northern,1,MWI,2
MWI,MWI.2,Central,1,MWI,3
MWI,MWI.3,Southern,1,MWI,4
MWI,MWI.1.1,Northern,2,MWI.1,5
MWI,MWI.2.2,Central-East,2,MWI.2,6
MWI,MWI.2.3,Central-West,2,MWI.2,7
MWI,MWI.3.4,South-East,2,MWI.3,8
MWI,MWI.3.5,South-West,2,MWI.3,9
MWI,MWI.1.1.1,Chitipa,3,MWI.1.1,10
MWI,MWI.1.1.2,Karonga,3,MWI.1.1,11
MWI,MWI.1.1.3,Rumphi,3,MWI.1.1,12
MWI,MWI.1.1.4,Mzimba,3,MWI.1.1,13
MWI,MWI.1.1.5,Nkhata Bay,3,MWI.1.1,14
MWI,MWI.1.1.6,Likoma,3,MWI.1.1,15
MWI,MWI.2.2.10,Dowa,3,MWI.2.2,16
MWI,MWI.2.2.11,Salima,3,MWI.2.2,17
MWI,MWI.2.2.7,Nkhotakota,3,MWI.2.2,18
MWI,MWI.2.2.8,Kasungu,3,MWI.2.2,19
MWI,MWI.2.2.9,Ntchisi,3,MWI.2.2,20
MWI,MWI.2.3.12,Mchinji,3,MWI.2.3,21
MWI,MWI.2.3.13,Lilongwe,3,MWI.2.3,22
MWI,MWI.2.3.14,Dedza,3,MWI.2.3,23
MWI,MWI.2.3.15,Ntcheu,3,MWI.2.3,24
MWI,MWI.3.4.16,Mangochi,3,MWI.3.4,25
MWI,MWI.3.4.17,Machinga,3,MWI.3.4,26
MWI,MWI.3.4.18,Balaka,3,MWI.3.4,27
MWI,MWI.3.4.19,Zomba,3,MWI.3.4,28
MWI,MWI.3.4.20,Phalombe,3,MWI.3.4,29
MWI,MWI.3.4.21,Mulanje,3,MWI.3.4,30
MWI,MWI.3.5.22,Neno,3,MWI.3.5,31
MWI,MWI.3.5.23,Blantyre,3,MWI.3.5,32
MWI,MWI.3.5.24,Mwanza,3,MWI.3.5,33
MWI,MWI.3.5.25,Chiradzulu,3,MWI.3.5,34
MWI,MWI.3.5.26,Thyolo,3,MWI.3.5,35
MWI,MWI.3.5.27,Chikwawa,3,MWI.3.5,36
MWI,MWI.3.5.28,Nsanje,3,MWI.3.5,37
MWI,MWI.1.1.1.1,Chitipa,4,MWI.1.1.1,38
MWI,MWI.1.1.2.2,Karonga,4,MWI.1.1.2,39
MWI,MWI.1.1.3.3,Rumphi,4,MWI.1.1.3,40
MWI,MWI.1.1.4.4,Mzuzu City,4,MWI.1.1.4,41
MWI,MWI.1.1.4.6,Mzimba,4,MWI.1.1.4,42
MWI,MWI.1.1.5.5,Nkhata Bay,4,MWI.1.1.5,43
MWI,MWI.1.1.6.7,Likoma,4,MWI.1.1.6,44
MWI,MWI.2.2.10.11,Dowa,4,MWI.2.2.10,45
MWI,MWI.2.2.11.12,Salima,4,MWI.2.2.11,46
MWI,MWI.2.2.7.8,Nkhotakota,4,MWI.2.2.7,47
MWI,MWI.2.2.8.9,Kasungu,4,MWI.2.2.8,48
MWI,MWI.2.2.9.10,Ntchisi,4,MWI.2.2.9,49
MWI,MWI.2.3.12.13,Mchinji,4,MWI.2.3.12,50
MWI,MWI.2.3.13.14,Lilongwe City,4,MWI.2.3.13,51
MWI,MWI.2.3.13.15,Lilongwe,4,MWI.2.3.13,52
MWI,MWI.2.3.14.16,Dedza,4,MWI.2.3.14,53
MWI,MWI.2.3.15.17,Ntcheu,4,MWI.2.3.15,54
MWI,MWI.3.4.16.18,Mangochi,4,MWI.3.4.16,55
MWI,MWI.3.4.17.19,Machinga,4,MWI.3.4.17,56
MWI,MWI.3.4.18.20,Balaka,4,MWI.3.4.18,57
MWI,MWI.3.4.19.21,Zomba City,4,MWI.3.4.19,58
MWI,MWI.3.4.19.22,Zomba,4,MWI.3.4.19,59
MWI,MWI.3.4.20.23,Phalombe,4,MWI.3.4.20,60
MWI,MWI.3.4.21.24,Mulanje,4,MWI.3.4.21,61
MWI,MWI.3.5.22.25,Neno,4,MWI.3.5.22,62
MWI,MWI.3.5.23.26,Blantyre,4,MWI.3.5.23,63
MWI,MWI.3.5.23.29,Blantyre City,4,MWI.3.5.23,64
MWI,MWI.3.5.24.27,Mwanza,4,MWI.3.5.24,65
MWI,MWI.3.5.25.28,Chiradzulu,4,MWI.3.5.25,66
MWI,MWI.3.5.26.30,Thyolo,4,MWI.3.5.26,67
MWI,MWI.3.5.27.31,Chikwawa,4,MWI.3.5.27,68
MWI,MWI.3.5.28.32,Nsanje,4,MWI.3.5.28,69
