age_group,age_group_label,age_group_start,age_group_span,age_group_sort_order
Y000_004,0-4,0,5,13
Y005_009,5-9,5,5,14
Y010_014,10-14,10,5,15
Y015_019,15-19,15,5,16
Y020_024,20-24,20,5,17
Y025_029,25-29,25,5,18
Y030_034,30-34,30,5,19
Y035_039,35-39,35,5,20
Y040_044,40-44,40,5,21
Y045_049,45-49,45,5,22
Y050_054,50-54,50,5,23
Y055_059,55-59,55,5,24
Y060_064,60-64,60,5,25
Y065_069,65-69,65,5,26
Y070_074,70-74,70,5,27
Y075_079,75-79,75,5,28
Y080_999,80+,80,Inf,29
Y015_049,15-49,15,35,1
Y015_064,15-64,15,50,2
Y015_999,15+,15,Inf,3
Y050_999,50+,50,Inf,4
Y000_999,all ages,0,Inf,5
Y000_064,0-64,0,65,6
Y000_014,0-14,0,15,7
Y015_024,15-24,15,10,8
Y025_034,25-34,25,10,9
Y035_049,35-49,35,15,10
Y050_064,50-64,50,15,11
Y065_999,65+,65,Inf,12
Y000_000,<1,0,1,30
Y001_004,1-4,1,4,31
